condition,augmentation_family,method,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,total_train_rows,threshold,validation_precision,validation_recall,validation_f1,validation_f2,precision,recall,f1,f2,auroc,auprc,pred_normal,pred_anomaly,true_normal,true_anomaly
balanced,traditional,Frequency domain,1247,247,1000,1247,1.0,2494,0.8999999999999999,0.7315436241610739,0.6646341463414634,0.6964856230031949,0.6770186335403726,0.697594501718213,0.6858108108108109,0.6916524701873935,0.688135593220339,0.954159590470183,0.7290124440644902,2790,291,2785,296
balanced,traditional,Noise injection,1247,247,1000,1247,1.0,2494,0.8899999999999999,0.6686046511627907,0.7012195121951219,0.6845238095238095,0.6944444444444444,0.5793871866295265,0.7027027027027027,0.6351145038167939,0.6740116655865198,0.9543585326798971,0.7109630409964762,2722,359,2785,296
balanced,generative_filtered,Filtered@900 GT-GAN,1147,247,900,1147,1.0,2294,0.9199999999999999,0.6413793103448275,0.5670731707317073,0.6019417475728155,0.5805243445692884,0.6885245901639344,0.5675675675675675,0.6222222222222222,0.5882352941176471,0.9312594012324713,0.6709654595449679,2837,244,2785,296
balanced,generative_score_filtered,ScoreFiltered@750 Diffusion,997,247,750,997,1.0,1994,0.9099999999999999,0.6390532544378699,0.6585365853658537,0.6486486486486487,0.6545454545454545,0.5501355013550135,0.6858108108108109,0.6105263157894737,0.6535737282678686,0.9330911252365472,0.6802705785174967,2712,369,2785,296
balanced,generative_filtered,Filtered@900 Diffusion,1147,247,900,1147,1.0,2294,0.94,0.6984126984126984,0.5365853658536586,0.6068965517241379,0.5626598465473146,0.7053571428571429,0.5337837837837838,0.6076923076923076,0.5610795454545454,0.9290370711824931,0.6725151513958236,2857,224,2785,296
balanced,generative,Masking Diffusion,1247,247,1000,1247,1.0,2494,0.94,0.6455696202531646,0.6219512195121951,0.6335403726708074,0.6265356265356266,0.5735735735735735,0.6452702702702703,0.6073131955484896,0.6295319709953856,0.9417293415498083,0.7298402634301948,2748,333,2785,296
balanced,generative_filtered,Filtered@750 GT-GAN,997,247,750,997,1.0,1994,0.94,0.8877551020408163,0.5304878048780488,0.6641221374045801,0.5769230769230769,0.797752808988764,0.4797297297297297,0.5991561181434599,0.5212922173274597,0.9324688243000631,0.6861734634942289,2903,178,2785,296
balanced,generative_filtered,Filtered@950 Diffusion,1197,247,950,1197,1.0,2394,0.8699999999999999,0.5894736842105263,0.6829268292682927,0.632768361581921,0.6619385342789598,0.5110565110565111,0.7027027027027027,0.5917496443812233,0.6536769327467001,0.9445848900965598,0.6946277013263324,2674,407,2785,296
balanced,traditional,Magnitude warping,1247,247,1000,1247,1.0,2494,0.8899999999999999,0.5916230366492147,0.6890243902439024,0.6366197183098592,0.667060212514758,0.519893899204244,0.6621621621621622,0.5824665676077266,0.6278026905829597,0.95,0.711442851185386,2704,377,2785,296
balanced,generative_score_filtered,ScoreFiltered@950 Diffusion,1197,247,950,1197,1.0,2394,0.83,0.5284552845528455,0.7926829268292683,0.6341463414634146,0.720620842572062,0.4523364485981308,0.8175675675675675,0.5824308062575211,0.7038976148923793,0.9447522926876607,0.6992716747823574,2546,535,2785,296
